id,in,out,total,,,,,
496,1,2,3,,,,,
497,2,1,3,,,,,
498,0,2,2,,,,,
499,1,3,4,,,,,
500,1,1,2,,,,,
501,1,1,2,,,,,
502,2,2,4,,,,,
503,2,1,3,,,,,
504,3,2,5,,,,,
505,1,1,2,,,,,
506,1,3,4,,,,,
507,0,2,2,,,,,
508,2,0,2,,,,,
509,4,2,6,,,,,
510,1,2,3,,,,,
511,1,1,2,,,,,
512,2,2,4,,,,,
513,1,1,2,,,,,
514,2,2,4,,,,,
515,1,1,2,,,,,
516,1,1,2,,,,,
517,1,2,3,,,,,
518,1,2,3,,,,,
519,1,2,3,,,,,
520,1,1,2,,,,,
521,5,7,12,,,,,
522,1,1,2,,,,,
523,1,2,3,,,,,
524,1,1,2,,,,,
525,1,1,2,,,,,
526,3,3,6,,,,,
527,1,2,3,,,,,
528,2,4,6,,,,,
529,2,0,2,,,,,
530,2,0,2,,,,,
531,5,2,7,,,,,
532,1,2,3,,,,,
533,3,1,4,,,,,
534,2,2,4,,,,,
535,0,2,2,,,,,
536,1,2,3,,,,,
537,2,2,4,,,,,
538,4,1,5,,,,,
539,2,0,2,,,,,
540,1,3,4,,,,,
541,4,4,8,,,,,
542,2,3,5,,,,,
543,1,2,3,,,,,
544,2,0,2,,,,,
545,1,0,1,,,,,
546,1,1,2,,,,,
547,3,2,5,,,,,
548,0,2,2,,,,,
549,3,4,7,,,,,
550,1,1,2,,,,,
551,1,1,2,,,,,
552,4,4,8,,,,,
553,1,1,2,,,,,
554,1,2,3,,,,,
555,1,2,3,,,,,
556,1,1,2,,,,,
557,2,3,5,,,,,
558,1,1,2,,,,,
559,1,0,1,,,,,
560,1,1,2,,,,,
561,2,4,6,,,,,
562,2,1,3,,,,,
563,1,1,2,,,,,
564,3,4,7,,,,,
565,1,1,2,,,,,
566,2,3,5,,,,,
567,1,1,2,,,,,
568,4,1,5,,,,,
569,2,0,2,,,,,
570,1,1,2,,,,,
571,1,1,2,,,,,
572,4,4,8,,,,,
